name,description
"The water crisis in Jackson, Mississippi","What’s happening in Jackson is hardly unique: Cities and states across the US are setting themselves up for failure by postponing expensive but critical work on aging water infrastructure. Climate change is making things worse, faster."
"Your long Covid questions, answered","Millions of people have long Covid; countless more could get it. Dr. Monica Verduzco-Gutierrez answers question from Today, Explained listeners about the condition that has even doctors bewildered."
